title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,mb_year,mb_year_source,deezer_year,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Israelites,Desmond Dekker,1968,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1968 (estimated_year) differs from MusicBrainz 1966,1968,1968,1966,mb_ok,2014,,,,1966,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1968 (csv_year) differs from MusicBrainz 1966,2,0di7hMT6o1ogeUN1XDB9Ft,Israelites,Desmond Dekker,playlist_import,,GBAJE6800413,true,
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",2004,csv_year,existing_year_conflict,artist_or_title_mismatch; existing_year 2004 (estimated_year) differs from MusicBrainz 1997,2004,2004,1997,mb_match_uncertain,2014,,,,,existing_year_conflict,artist_or_title_mismatch; existing_year 2004 (csv_year) differs from MusicBrainz 1997,7,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",playlist_import,,USBB40581044,true,
Ich bin der Martin 'ne,Diether Krebs,2005,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2005 (estimated_year) differs from MusicBrainz 1991,2005,2005,1991,mb_ok,2005,,,,1991,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2005 (csv_year) differs from MusicBrainz 1991,14,2znqUPNy69gC4l5cC6CtAK,Ich bin der Martin 'ne,Diether Krebs,playlist_import,,DEG419900676,true,
Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",2011,csv_year,existing_year_conflict,deezer:no_year; discogs:no_result; existing_year 2011 (estimated_year) differs from MusicBrainz 2008,2011,2011,2008,mb_ok,,,,,2008,existing_year_conflict,deezer:no_year; discogs:no_result; existing_year 2011 (csv_year) differs from MusicBrainz 2008,3,5QIG1kl6klZIy0Lu67XNYJ,Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",playlist_import,,DEN061101459,true,
Everybody,DJ BoBo,2006,csv_year,existing_year_conflict,artist_or_title_mismatch; existing_year 2006 (estimated_year) differs from MusicBrainz 1993,2006,2006,1993,mb_match_uncertain,2017,,,,,existing_year_conflict,artist_or_title_mismatch; existing_year 2006 (csv_year) differs from MusicBrainz 1993,13,4Kc0S6bWVeO7Q4SoMPAyX1,Everybody,DJ BoBo,playlist_import,,DEMI60600006,true,
Hey Baby (Radio Mix),DJ Ötzi,2010,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (estimated_year) differs from MusicBrainz 2000,2010,2010,2000,mb_ok,2010,,,,2000,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (csv_year) differs from MusicBrainz 2000,10,0HNXnhNZZtRZFLhP4hfyCP,Hey Baby (Radio Mix),DJ Ötzi,playlist_import,,ATHE51081010,true,
Tom's Diner,"DNA, Suzanne Vega",2021,csv_year,existing_year_conflict,artist_or_title_mismatch; existing_year 2021 (estimated_year) differs from MusicBrainz 1990,2021,2021,1990,mb_match_uncertain,2018,,,,,existing_year_conflict,artist_or_title_mismatch; existing_year 2021 (csv_year) differs from MusicBrainz 1990,31,0mFIn4etymn4sDWNrERNJh,Tom's Diner,"DNA, Suzanne Vega",playlist_import,,USAM19104303,true,
Volare,Domenico Modugno,2020,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2020 (estimated_year) differs from MusicBrainz 1972,2020,2020,1975,mb_ok,2010,,,,1975,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2020 (csv_year) differs from MusicBrainz 1975,45,71hIekopkrYCGgggsBOpVG,Volare,Domenico Modugno,playlist_import,,DETL61621179,true,
American Pie - Single Version,Don McLean,2019,csv_year,existing_year_conflict,artist_or_title_mismatch; existing_year 2019 (estimated_year) differs from MusicBrainz 1971,2019,2019,1971,mb_match_uncertain,2020,,,,,existing_year_conflict,artist_or_title_mismatch; existing_year 2019 (csv_year) differs from MusicBrainz 1971,48,6lHTt7tzOzCcVaBf1CIQfR,American Pie - Single Version,Don McLean,playlist_import,,USEM39000209,true,
I Feel Love,Donna Summer,1979,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1979 (estimated_year) differs from MusicBrainz 1977,1979,1979,1977,mb_ok,1991,,,,1977,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1979 (csv_year) differs from MusicBrainz 1977,2,3x0wa95iAU1ZMmf3yAQkjZ,I Feel Love,Donna Summer,playlist_import,,USWWW0125612,true,
So schmeckt der Sommer,Edward Reekers,2019,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2019 (estimated_year) differs from MusicBrainz 1995,2019,2019,1995,mb_ok,2019,,,,1995,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2019 (csv_year) differs from MusicBrainz 1995,24,0ftIaUx27vc9K0ztdiZgHf,So schmeckt der Sommer,Edward Reekers,playlist_import,,DEF069516410,true,
Suavemente,Elvis Crespo,2008,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (estimated_year) differs from MusicBrainz 1998,2008,2008,1998,mb_ok,1999,,,,1998,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (csv_year) differs from MusicBrainz 1998,10,1YwPNemawMgGe6sF4U0FTE,Suavemente,Elvis Crespo,playlist_import,,USSD19700576,true,
