title,artist,estimated_year,spotify_track_id,isrc
"Summertime, Summertime",The Jamies,2019,37Vct7oArn3tHN3XXCJJ7p,USSM19700760
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,2tUBqZG2AbRi7Q0BIrVrEj,USAR18700121
Dance Monkey,Tones And I,2019,5ZULALImTm80tzUbYQYM9d,QZES71982312
I Kissed A Girl,Katy Perry,2008,14iN3o8ptQ8cFVZTEmyQRV,USCA20801738
Barbie Girl,Aqua,1997,5ZrDlcxIDZyjOzHdYW1ydr,DKBKA9700403
High On Life (feat. Bonn),"Martin Garrix, Bonn",2018,4ut5G4rgB1ClpMTMfjoIuy,NLM5S1800265
Who Do You Think You Are - Radio Version,Spice Girls,2007,0dRMcoWTlEY3uA4ra8U2np,GBAAA9710324
Tossin' And Turnin',Bobby Lewis,2005,79s3pSe1u6ggQBEwVPm58Z,USPB81010318
Wake Me Up Before You Go-Go,Wham!,1984,0ikz6tENMONtK6qGkOrU3c,GBBBN0009712
Here Comes the Hotstepper,iNi Kamoze,2001,4vfzROmNsxedKICcHod5Rh,USSM19802296
Bad,Michael Jackson,1995,3FvQH46A4B37eNHjooIXcu,USSM18700002
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,0HOrDVS349XFcpCYsO2hAP,USPR39401742
The Sign,Ace of Base,1993,0hrBpAOgrt8RXigk83LLNE,SEVJH0803404
"Harder, Better, Faster, Stronger",Daft Punk,2001,5W3cjX2J3tjhG8zb6u0qHn,GBDUW0000059
Wannabe,Spice Girls,1996,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008
Hallihallo,Andreas Gabalier,2018,0OPQRCqdgAfgghajirG91o,DEUM71801228
Kiss (When The Sun Don’t Shine),Vengaboys,2000,2dPhjZxTNUUlJRMwgsAJxk,NLC529911140
Mexico,Les Humphries Singers,1982,0lLQ5Bgf2hAg8TU33xoiGX,DEA619351670
Sun Is Up,INNA,2011,6V2qGKZWIR7xsbhFtUQdsn,USUS11100418
Sweet Freedom,Michael McDonald,1986,4ZsYF5rjUXIwds6KNimPRo,USUM72107422
Love Generation,"Bob Sinclar, Gary Pine",2011,0dvBxpL7aCjiKMFtsZRsFd,FRQ380500330
Saturday Night,Whigfield,2014,0nIbbqHSaenYtibtoSKYaF,DEA319600883
The Locomotion,Little Eva,1962,5xzdDMhFYiuUONB0Mha9VS,GBAYE6200144
"Let's Go Dancin' (Ooh La, La, La) - Single Version",Kool & The Gang,2018,1tcC3OHLh3ROsSIwfM8bEp,USMR18287019
