title,artist,current_mb_year,spotify_year,discogs_year,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,status,error
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,2016,,2bb74cf7-acd5-4f7b-9be1-1c9eceb96a3d,CAN’T STOP THE FEELING!,d8700b06-a696-4fad-90ec-6b6ce59b7eb1,CAN’T STOP THE FEELING!,ok,
Lambada - Original Version 1989,Kaoma,2017,1989,,df6d11f9-0191-49ce-932d-bbc19144195a,Lambada (Original Version 1989),3a523c86-f8fe-4729-acc8-ca988ada3671,"THE ""LAMBADA"" BY THE WORLDBEAT GROUP KAOMA",ok,
Fresh,Kool & The Gang,1984,1984,,3e40448d-a96f-4337-aa73-c2f73bdf8e3c,Fresh,09bb02b4-16f7-4559-904b-e7ab915f03d8,Emergency,ok,
The Edge Of Glory,Lady Gaga,2011,2011,,36119119-c128-4c87-bdc8-83af13021534,The Edge of Glory,b19d5cee-b579-400f-93ce-3327cc9d057a,Born This Way,ok,
This Love,Maroon 5,2002,2002,,38dc35cd-6023-43c5-a968-3a932c22517d,This Love,32d2e4c9-6144-45f9-9203-b5a1a0e4aa94,Songs About Jane (10th anniversary edition),ok,
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",2021,1997,,7a5441ad-aa4e-4f13-afa3-a9d6dc5fb8ca,Lonely (remastered),dd20a265-b86b-4580-83cd-9a802ae7dca0,Love Lounge Deluxe,ok,
Guten Morgen Sonnenschein,Nana Mouskouri,1977,1977,,a0deb2c9-c5f3-4cfe-88bb-2863990b3c26,Guten Morgen Sonnenschein,55618cb4-e70f-4ad3-be8d-96475978e36a,Glück ist wie ein Schmetterling,ok,
Summer Wine,"Nancy Sinatra, Lee Hazlewood",1986,1968,1967,8f940a24-e542-488a-bcfb-bbbc36ddab10,Summer Wine,9269354c-0fa9-4753-9588-b9fcbaf5010b,Nancy & Lee,ok,
La La La,"Naughty Boy, Sam Smith",2013,2013,,4ebe0e2a-948e-4703-a872-ef1bc21d8c8c,La La La,7a924948-07e1-44df-8ba7-b459f6b84e31,La La La (Edits),ok,
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,1969,1969,,b2823384-7ee0-4cb3-942a-f93b52cb5389,Spirit in the Sky,7e2f87f5-cf22-4cf0-af87-47216cb1eaa6,Spirit in the Sky,ok,
Flying Through the Air,Oliver Onions,1973,1994,1973,977b652e-2211-4cb5-983c-61a1fd42b9c5,Flying Through the Air,3303cefe-2e77-4a77-9848-150b5014f0e2,Bud Spencer / Terence Hill Greatest Hits,ok,
Santamaria,Oliver Onions,1980,2008,,d3662b79-edc0-45d5-b8c2-3b09a6418ace,Santa Maria,ddb2ed42-6832-4482-816c-95131ef663c6,Santa Maria,ok,
Live Is Life (Digitally Remastered) - Single Version,Opus,1984,2011,,c8a637ff-f4e2-4b8c-ba9d-b75b502cb721,Live Is Life (live),34ceb157-678c-4623-8d86-808985a2787a,Der Ö La Palöma Party Mix,ok,
Cover Me In Sunshine,"P!nk, Willow Sage Hart",2021,2021,,a8acab82-3308-40a0-bbc4-eb390237b853,Cover Me in Sunshine,936a0a82-11b1-4d3b-8202-dde08daccd10,Cover Me in Sunshine,ok,
