title,artist,estimated_year,spotify_track_id,isrc
Baker Street,Gerry Rafferty,1978,5gOd6zDC8vhlYjqbQdJVWP,GBAYE7800619
Nutbush City Limits,Ike & Tina Turner,2008,06yREZ9X92R2e9RJpdzZ2O,USEM37300029
I Want To Break Free,Queen,2018,7iAqvWLgZzXvH38lA06QZg,GBUM71805978
Footloose,Kenny Loggins,1997,6W2VbtvMrDXm5vYeB7amkO,USSM18400107
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,0x93VOS1AOKUgJkZjcG1sh,USRC11600876
Wake Me Up,Avicii,2013,0nrRP2bk19rLc0orkWPQk2,SEUM71301326
Hollaback Girl,Gwen Stefani,2004,0LzrhCZFXW94Y8nwtTuRlw,USIR10400847
Where Do You Go,No Mercy,1996,37tzoWY1ubBQKGXiWdO5Qv,DED169600128
Bella Isola - Radio,Bata Illic,2003,0tRdzXtsvcdVcUCvLYa6Ow,DEQ090300067
Lessons In Love,Level 42,1987,3EGI5qmVmGlfgy9BmNb1R8,GBAKW8601003
Whatever,CRO,2013,2jEM4UBJxs98Uf4NEe48iD,DEW921300229
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",2013,2Foc5Q5nqNiosCNqttzHof,USQX91300809
Venus,Bananarama,1986,4XX1pFUkQOZTYp6Hb6a6Ae,GBAAP9600095
Happy Together,The Turtles,1967,1JO1xLtVc8mWhIoE3YaCL0,USA560587940
Pump Up The Jam,Technotronic,1989,21qnJAMtzC6S5SESuqQLEK,BED018901375
La Bamba - Single Version,Ritchie Valens,1959,2aEeghgUcnu75tzcolFMfs,USRH10402003
Heat Waves,Glass Animals,2020,3USxtqRwSYz57Ewm6wWRMp,GBUM72000433
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",1997,2XAuKwZuf3EPDo9GLfBDsB,DEPI82101614
Conga!,"Miami Sound Machine, Gloria Estefan",1985,3FdHgoJbH3DXNtGLh56pFu,USSM10026825
Holiday Rap - Version 1986,MC Miker & DJ Sven,2012,2wCgOxYof67qXam24a3pHz,NLE320400069
Weekend,Earth & Fire,1979,1bZr5vH0cfmKu5ODpD0DEO,NLC287900009
Love Is You - Radio Version,Thomas Godoj,2008,0ydk0oiUuGNyeUFeWlkjUS,DEE860800369
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,2013,1rvr5N1PGjoE7rsJZCdomp,DEU241266207
People Everyday,Arrested Development,1992,6JvodgYcsthsORxPsEYUoe,USCH39200007
Sucker,Jonas Brothers,2019,22vgEDb5hykfaTwLuskFGD,USUG11900515
California Gurls,"Katy Perry, Snoop Dogg",2012,6tS3XVuOyu10897O3ae7bi,USCA21001135
Let's Get Loud,Jennifer Lopez,1999,42nSaPdT6g3ZIMHmKLlP2p,USSM19900597
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018,7ef4DlsgrMEH11cDZd32M6,GBARL1800368
Mambo No. 5 (a Little Bit of...),Lou Bega,1999,6x4tKaOzfNJpEJHySoiJcs,DEH259900010
The Girl From Ipanema - Single Version,"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",1964,4qGfJb2KByjvzrwo8HNibg,USUMG0000425
Talkin' Bout a Revolution,Tracy Chapman,1988,0YMFcrMtBowDdD5bPz0cgy,USEE10100547
Sonic Empire - Short Mix,Members Of Mayday,1997,19iYbGg080uoVvudEvrN43,DEE199700014
Senza Una Donna,Zucchero,1987,3ShEGKdskF0ke7iW2u9gjD,IT9008701810
Don't Stop,Fleetwood Mac,1988,6l6vgKIgXLnqgSMqf4nGNc,USWB19900180
Coco Jamboo,Mr. President,1996,5fRvePkRGdpn2nKacG7I6d,DEBS80500020
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,2003,1AjQE5MtP5jHQMyDepbvLI,USUR10300367
Ö La Palöma - Radio Edit,Ö La Palöma Boys,1999,6JUhYg1RCDoEkBDoX9eDQL,DEQ989900065
Jetzt oder nie,Maite Kelly,2016,5Q5mE6WAW410uleWj0Qjz7,DEUM71602757
I.O.I.O. - Radio Edit,B 3,2002,3b2lYcUl4Scnm4CnltLMvY,DEPI82100993
SOS,ABBA,2008,5pMmWfuL0FTGshYt7HVJ8P,SEAYD7501040
Balada,Gusttavo Lima,2012,6d63QA85w4FXhlXYtz7nco,USA561215539
The Shoop Shoop Song (It's In His Kiss),Cher,1991,5oV1YjM2rtyZ55txHHsFUu,USGF19031001
Umbrella - Radio Edit,"Rihanna, JAŸ-Z",2007,113v1MA9MTShy98uCz37nO,USUM70731242
Samba de Janeiro - Radio Edit,Bellini,1997,4YopUHLBgDj3l17HYm2OoX,DEG129700451
Stop! In The Name Of Love,The Supremes,1965,52FlwUMMDnTK8TGkCag9Jd,USMO16500288
Voyage voyage,Desireless,1989,2d8D7uk3tbAThjRkdfrx9c,DEQ858600201
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,2002,6UEfyhyfhYQsyipxOd95Ie,ES5110204224
Vamos a la Playa - 1983,Righeira,2012,3iB7lzsBC7PdJLU9k2nttT,IT0728300001
Macarena,Los Del Rio,2002,6mhw2fEPH4fMF0wolNm96e,ES5109500538
Summer Wine,"Nancy Sinatra, Lee Hazlewood",1968,2JKRZGp4LwT9GGbcXtx2sw,USASE0510168
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972,3gdewACMIVMEWVbyb8O9sY,GBAMB7200006
Dance The Night,Dua Lipa,2023,11C4y2Yz1XbHmaQwO06s9f,USAT22305730
One Night Stand,Capital Bra,2018,4i2DmyVwf29lEdmLGNTyGM,DEWS21700051
Sunny,Bobby Hebb,1966,4vju55Ag7apDL2CfotuE7Q,USPR39402093
Ti Amo,Pietro Lombardi,2021,2vlXmglKhzSlV5XJgPzjnx,DEUM72115879
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,1969,0jvN7eQJJt4nxQzgQfZ1SP,USRE19600416
Stadt,"Cassandra Steen, Adel Tawil",2009,6nE5RgNaFN5E5bpXeH2z9M,DEUM70900096
Lila Wolken,"Marteria, Miss Platnum, Yasha",2012,2i7LYnvqSFfmimscnZqVLn,DEQ321200214
Sailing,Rod Stewart,1975,6OuRbvP4PgbuzBIapVzmFJ,USWB10807925
Am Tag als Conny Kramer starb,Juliane Werding,1996,7kTHUVnGMMOHW1CLdgvzui,DEC737100002
Mi Gente,"J Balvin, Willy William",2017,5r6X3m7zrVHmU2lSp3DXmP,FR22F1701790
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],"Asaf Avidan, The Mojos, Wankelmut",2012,5bGG1abhVIUm6EAa36ipRX,DEQ321200132
I Feel Love,Donna Summer,1979,3x0wa95iAU1ZMmf3yAQkjZ,USWWW0125612
Summer,Calvin Harris,2014,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
Du,Peter Maffay,1970,6fFshpRdAV1MHSpzXP3Yyk,DEA818100076
Rhythm Is A Dancer,SNAP!,1992,1IWzfq3sLedGQ3fb2hAMBA,DET189200600
Dubi Dam Dam - Radio Edit,Banaroo,2005,6FRw4Ed7mA8b1bVbWVL3yI,DEBA20500001
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,0qemIQjSxcKyf42VPfZnfa,NLF057790035
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",2018,0utLWSIbolqT7KyppMuxKY,USAR10301423
Without You,Mariah Carey,1993,1kMOJBmpfWD9fir6st9uqS,USSM19303176
Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",1987,50jCUPNEHtmLfK6PQzcnOH,ITZ049900408
Evacuate the Dancefloor,Cascada,2012,4Zfq7r0v4FKeoxwhyLYSyb,DEHK90911301
Closer,Ne-Yo,2008,0GX5oOKtU0nnx5OkhenW2i,USUM70809378
Boom Boom Boom - Don't Break My Balls Mix,The Outhere Brothers,1994,1m3YR95r3ZuLtu66T8l4Ab,CAU119402044
"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",Ricky Martin,2015,7aUCLXZ4D4UD5sCgIgxqjl,NLB639810008
Let's Get Back To Bed - Boy!,"Sarah Connor, TQ",2001,0EbWhshcHu8Y0NkdgABv3d,DEE860100326
Black Velvet,Alannah Myles,1989,1KU5EHSz04JhGg3rReGJ0N,USAT20103053
Waterfall,"Michael Schulte, R3HAB",2023,7aJgh6LCvhXJfD7PHjhG70,DEUM72119688
Bailando,Loona,2020,0oxOXYVVZ7vDknU6kagLwO,NLJ2Y2000008
The Power,SNAP!,1990,0nQLxiNGbbUoSGrxksETLm,DET189000100
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",2004,2NBQmPrOEEjA8VbeWOQGxO,USMC10400640
Love Generation - Radio Edit,"Bob Sinclar, Gary Pine",2005,3s3DWOPtKQSgJVDRKu85Tt,FRQ380500331
Get Busy,Sean Paul,2022,6bK9BH9Ts8Gj5JFvnQkzak,USAT20202575
Barbara Ann,The Beach Boys,1975,2KOt2JrCB720UxIbyzweQo,USCA28600057
Femme Like U,K.Maro,2004,4iVnfuAmwJNAGsiHz8Po6Y,FRZ160400064
Akropolis Adieu,Mireille Mathieu,1976,5mmuzYKRWwpgsUNxhMg2ZW,DEC717100002
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,1967,6vcNJUWtUPB0hKC6VbZriY,USSM16701024
I Believe,KAMRAD,2022,6Gz7e7gqh7ytnzZzgSA9AR,QMDA62184030
Substitution (feat. Julian Perretta),"Purple Disco Machine, Kungs, Julian Perretta",2023,2F2p7b5Xq20mRyEeWYaeUF,DEE862300093
Lush Life,Zara Larsson,2017,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
So Am I,Ava Max,2020,2Xnv3GntqbBH1juvUYSpHG,USAT21900569
La Tortura (feat. Alejandro Sanz),"Shakira, Alejandro Sanz",2005,5BSclXJTa9B0iURhUjZo50,USSM10501700
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",2006,0O45fw2L5vsWpdsOdXwNAR,USJI10600269
Axel F,Harold Faltermeyer,1988,2kgqupahrJpYB4r1poTXEY,USMC18416586
Summer Of '69,Bryan Adams,1984,0GONea6G2XdnHWjNZd6zt3,USAM18490006
Cover Me In Sunshine,"P!nk, Willow Sage Hart",2021,6Tio0ZoDeSQnI7EBAqWer2,USRC12100138
