title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Byłaś serca biciem,Andrzej Zaucha,2014,4NjQQCRgkAiKXZilmCTyCS,PLB170701459,Koncert Życzeń,compilation,2014-11-17,272733,Various Artists,2,1
Coco Jamboo - Radio Version,Mr. President,1996,6rQ9qJPvInEqSzlh89LsPJ,DEBS80500020,We See The Same Sun,album,1996,218733,Mr. President,2,1
Don't Worry Be Happy,Bobby McFerrin,1997,5YbgcwHjQhdT1BYQ4rxWlD,USEM38800361,The Collection,compilation,1997-01-01,292400,Bobby McFerrin,1,1
Here Comes the Hotstepper,iNi Kamoze,2001,4vfzROmNsxedKICcHod5Rh,USSM19802296,On Your 90's Radio,compilation,2001-01-01,244813,Various Artists,19,1
Helena,Igo,2022,5HoGLRydfDTwIWGrTzJPbQ,PLS172100001,Helena,single,2022-01-04,231932,Igo,1,1
Rock DJ,Robbie Williams,2000,4pbyDPjFgfPqFTcIMC8xpK,GBAYK0000160,Sing When You're Winning,album,2000-01-01,258560,Robbie Williams,3,1
Szalona,Boys,2003,6UMOQta2CBNmKqAgQnGP7k,PLH751300276,Przebojowa Kolekcja,album,2003-01-01,238265,Boys,8,1
Gdzie się podziały tamte prywatki,Wojciech Gassowski,2016,0GAayTixtFa1ntUEXfOA2c,PLA248931648,60 lat Polskich Nagrań,compilation,2016-10-03,198853,Various Artists,10,1
Don't Cha,"The Pussycat Dolls, Busta Rhymes",2005,0BxfFnk0YzONqvmrkO0QrB,USUM70503191,PCD,album,2005-01-01,272080,The Pussycat Dolls,1,1
Jak Się Masz Kochanie (Original),Happy End,1977,3lhNqtAXBbsrvwi1DCiMgD,PLH791400286,Jak Się Masz Kochanie (Original),single,1977-04-09,229250,Happy End,1,1
Danza Kuduro - Original Mix,Don Lore V,2015,57KrVuOJCmqLPMY6qaL6sW,ITJ871100258,Danza Kuduro Latin Album,album,2015-04-08,194301,Don Lore V,1,1
