title,artist,estimated_year,spotify_track_id,isrc
So bist du,Peter Maffay,1979,3a5Pk82SnxIfGbuu78jCGp,DEA817900048
Lebenslänglich Du,Oliver Haidt,1998,5g5MuODGRtOqj0IVJjG8P2,DEA609600025
Ich küss dir die Angst von deiner Haut,Wolfgang Ziegler,2002,65WVmgaxXQINP00OgTrntq,DEC710300022
Wer die Sehnsucht kennt,Claudia Jung,1995,2SVHVXpoEfFumA74FpO0Sh,DEA349500669
Du entschuldige i kenn di,Peter Cornelius,2019,04voeuIParTaNr91SHuXiJ,ATC831500001
Schlittenfahren in Tirol (Der Schnittensong),DJ Zipfelmann,2014,50XIyAl7f1IvBTrmPWWtxg,DEDB41400208
Weiß' der Geier - Radio Version,Wolfgang Petry,1996,50cyrBR7nyOEJFT6ISOuTc,DEH499700084
Das Trampolin - Live,Mike Krüger,1994,0KLS2bh5qpsbjP9ucr6qaH,DEEG22270162
Kreuzberger Nächte,Gebrüder Blattschuss,2009,5zOTYihDHgLl1K2o2w1S9O,DEC737800012
Ibiza,Ibo,2000,5cDkS4YY5zmjjTUnrNTO5F,DEA769809101
Auf der Straße nach Süden,Tony Marshall,1999,6VuP54I5GDugYPVRQJqCYA,DEC717800008
Ich liebe das Leben,Vicky Leandros,2000,3c12xbWbu6Xv3oeoV2upg6,DEF077504040
Macho Macho,Rainhard Fendrich,2014,15aPUZJtmf5wy84rt25Pef,DEC718800092
Heidi,Gitti Und Erica,1987,2n8UJmTeKTE2h7VNZRJiF8,DEN120501925
Früh-Stück,Gebrüder Blattschuss,2009,3PeUytVHSB0plBO03sT7NA,DEC737900007
Des geht vorbei,Nicki,2004,46R8l8fBUfMe716BfGNHXW,DEG129200603
Ich liebe dich,Clowns & Helden,1986,1iTFJGcZT9gA0CzlSCTQ8r,DEA622101291
Fang das Licht,"Karel Gott, Darinka",1994,4Ov2I9GCsSQN90lSX6EDuo,DEF068503340
Wo finde ich den Mann?,Lill Babs,2017,3NLceKthps36K4AeixwSsJ,DELJ81732991
"Gold, Platin und Diamant",Die Fidelen Mölltaler,2001,4Nfd91XYD16Rx5R2hPRo7c,ATK230100048
Santa Catarina,Andrea Jürgens,1977,1jVFe4jxD9sccMlWyIBtHM,DEC719100003
Der blonde Hans,Hannes Kröger,2009,3OUj5lijPrVjTdh0RjO5gC,DEC738800092
