title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year,listenbrainz_match_status,listenbrainz_year_signal,listenbrainz_context_flags,listenbrainz_version_flags,listenbrainz_recommendation,listenbrainz_mb_year,listenbrainz_mb_year_source,listenbrainz_year_delta_vs_current_mb,listenbrainz_year_delta_vs_spotify,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,final_source,review_reason
La La La,"Naughty Boy, Sam Smith",,,,,2013,2013,Hotel Cabana (Deluxe Version),album,2013-01-01,222200,Naughty Boy,7,1,2013,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,3wPPWcVuinAU7dXcJXtCID,La La La,"Naughty Boy, Sam Smith",playlist_import,,GBAAA1300148,true,,,,ok,alternative_later_than_current_mb,deluxe_context+noisy_release_context,,manual_conflicting_years,2025,recording_first_release_date,12,12,4ebe0e2a-948e-4703-a872-ef1bc21d8c8c,La La La,7a924948-07e1-44df-8ba7-b459f6b84e31,La La La (Edits),,
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,,,,,1969,1969,Spirit In The Sky (Deluxe Edition),album,1969-01-01,242893,Norman Greenbaum,2,1,1969,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky - Deluxe Edition,Norman Greenbaum,playlist_import,,USRE19600416,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1969,recording_first_release_date,0,0,b2823384-7ee0-4cb3-942a-f93b52cb5389,Spirit in the Sky,7e2f87f5-cf22-4cf0-af87-47216cb1eaa6,Spirit in the Sky,,
Flying Through the Air,Oliver Onions,,,,,1994,1994,Bud Spencer / Terence Hill Greatest Hits,compilation,1994-10-17,172360,Oliver Onions,20,1,1994,mb_match_uncertain,text,1.00,,,skipped_off,,1973,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,1PEZiGU255hLkwyn5CwHqj,Flying Through the Air,Oliver Onions,playlist_import,,DEH840501531,true,,,,ok,confirms_current_mb_and_spotify,best_of_context+compilation_context+noisy_release_context,,manual_conflicting_years,1994,recording_first_release_date,0,0,977b652e-2211-4cb5-983c-61a1fd42b9c5,Flying Through the Air,3303cefe-2e77-4a77-9848-150b5014f0e2,Bud Spencer / Terence Hill Greatest Hits,,
Santamaria,Oliver Onions,,,,,2008,2008,Santamaria,album,2008-04-19,245280,Oliver Onions,1,1,1980,mb_match_uncertain,text,0.81,,,skipped_off,,,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,,3GYdFB1UtGEqKGlf6R80Nx,Santamaria,Oliver Onions,playlist_import,,DEA370801193,true,,,,ok,confirms_current_mb,title_mismatch,,manual_noisy_context,1980,recording_first_release_date,0,-28,d3662b79-edc0-45d5-b8c2-3b09a6418ace,Santa Maria,ddb2ed42-6832-4482-816c-95131ef663c6,Santa Maria,,
Live Is Life (Digitally Remastered) - Single Version,Opus,,,,,2011,2011,Live Is Life,single,2011-02-11,249500,Opus,1,1,1998,mb_match_uncertain,text,0.70,,,skipped_off,,,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,,5luOvrlnzfvJQdQjrScVj4,Live Is Life (Digitally Remastered) - Single Version,Opus,playlist_import,,ATX141100001,true,,,,ok,confirms_current_mb,live_context+various_artists_context+compilation_context+noisy_release_context+title_mismatch,live+remix+single_version+remastered,manual_version_risk,1999,recording_first_release_date,1,-12,c8a637ff-f4e2-4b8c-ba9d-b75b502cb721,Live Is Life (live),34ceb157-678c-4623-8d86-808985a2787a,Der Ö La Palöma Party Mix,,
Zwei Mädchen aus Germany,Paul Anka,,,,,2016,2016,Die besten deutschen Teenager-Hits der 50er & 60er,compilation,2016-03-25,165320,Various Artists,24,1,2010,mb_match_uncertain,text,0.96,,,skipped_off,,1964,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,4ImlIOgbZtZbhY9AUSHpGm,Zwei Mädchen aus Germany,Paul Anka,playlist_import,,DEAR41617538,true,,,,no_musicbrainz_year,no_year,best_of_context+noisy_release_context,,unusable,,,,,c1fcb464-6085-4466-b8e1-cd9cdf45c52d,Zwei Mädchen aus Germany,76d1fd4d-8e48-4690-940a-8b257cac3c21,Ein Sonny Boy und eine kleine Signorina,,
I Want To Break Free,Queen,,,,,2018,2018,Bohemian Rhapsody (The Original Soundtrack),compilation,2018-10-19,223080,Queen,13,1,2018,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,7iAqvWLgZzXvH38lA06QZg,I Want To Break Free,Queen,playlist_import,,GBUM71805978,true,,,,ok,confirms_current_mb_and_spotify,soundtrack_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2018,recording_first_release_date,0,0,970170b6-9719-497b-95f5-099410075b50,I Want to Break Free,bb918b7b-021f-4cf9-94a2-460636bca89b,Bohemian Rhapsody: The Original Soundtrack,,
Sailing,Rod Stewart,,,,,1975,1975,Atlantic Crossing,album,1975,277960,Rod Stewart,10,1,2008,mb_ok,isrc,1.00,,,skipped_off,,1975,,,,review_needed,review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late,,6OuRbvP4PgbuzBIapVzmFJ,Sailing,Rod Stewart,playlist_import,,USWB10807925,true,,,,ok,alternative_earlier_than_current_mb,,,useful_alternative_mb_year,1975,recording_first_release_date,-33,0,6f379c0e-82a9-450c-8bc4-5cbae9182866,Sailing,8ce5f0d7-c8c1-3685-a94e-9a501b63d354,Atlantic Crossing,,
Boys - Summertime Love,Sabrina,,,,,1988,1988,Sabrina,album,1988,234812,Sabrina,4,1,2026,mb_match_uncertain,text,0.96,,,skipped_off,,1987,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,,1uI848raFaNWwe9HjHpjQ5,Boys - Summertime Love,Sabrina,playlist_import,,GBJUT1009950,true,,,,ok,alternative_earlier_than_current_mb,,,useful_alternative_mb_year,1987,recording_first_release_date,-39,-1,02727dab-4efa-4da1-94db-e31faeff6a39,Boys (Summer Time Love),ce75eafb-6168-4b2b-a3d6-e0547214826a,Sabrina,,
Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,,,,,2005,2005,Hits For Børn 2,compilation,2005-01-01,196560,Various Artists,1,1,2001,mb_match_uncertain,text,0.74,,,skipped_off,,2002,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,,2MDdh4rbNNBiy8l6XgI6E9,Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,playlist_import,,DKBKA0001601,true,,,,ok,confirms_current_mb,live_context+best_of_context+noisy_release_context,live+radio_edit,manual_version_risk,2000,recording_release_group_first_release_date:d5c25e28-c551-34c7-a2a5-67a0de5e6ecf,-1,-5,c73f45f8-4822-4619-a302-b00911c6f243,Played-A-Live (The Bongo Song) (radio edit),b8451c34-d1a4-4745-9cda-5bf74c9dc2e4,Played-A-Live (The Bongo Song),,
Smooth (feat. Rob Thomas),"Santana, Rob Thomas",,,,,1999,1999,Supernatural (Remastered),album,1999-06-15,294986,Santana,5,1,1999,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),"Santana, Rob Thomas",playlist_import,,USAR19900033,true,,,,ok,alternative_later_than_current_mb,live_context+noisy_release_context,live,manual_version_risk,2014,recording_first_release_date,15,15,93af7ccf-22d1-44b1-9757-bc17016979a7,Smooth,e89db478-8f15-4cd8-8d2d-13ca208d78d7,Corazón: Live From México - Live It to Believe It,,
Chocolate (Choco Choco) - Single Version,Soul Control,,,,,2020,2020,Here We Go,album,2020-12-11,197866,Soul Control,1,1,2004,mb_match_uncertain,text,0.96,,,skipped_off,,2004,,,,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,,3J5F2R62SIyivGUdebjR0O,Chocolate (Choco Choco) - Single Version,Soul Control,playlist_import,,DEA312007513,true,,,,ok,confirms_current_mb,,single_version,likely_accept_existing_mb,2004,recording_first_release_date,0,-16,3786759e-76ec-4adb-adcf-d9cd4a46b0be,Chocolate (choco Choco) (single version),a69b4332-fb47-4da3-bf85-0dc7174b785c,Chocolate (Choco Choco),,
Tacata,Tacabro,,,,,2013,2013,Latin Hits Summer 2013,compilation,2013-04-29,209333,Various Artists,24,1,2012,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,6EhPXpRYkwGwg8lx3XiGTI,Tacata,Tacabro,playlist_import,,ITV951100211,true,,,,ok,confirms_current_mb_and_spotify,best_of_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2012,recording_first_release_date,0,-1,eb5663f8-c3de-4b20-8087-da18e061d2cf,Tacata',3a241f40-9827-4ce3-9075-a0d4a8fa0df1,Ritmo de La Calle,,
Seasons in the Sun,Terry Jacks,,,,,1974,1974,Seasons In The Sun (Expanded Edition),album,1974-01-01,208853,Terry Jacks,11,1,1973,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,7pGMRy91RcQT9oHdPgYz3A,Seasons in the Sun,Terry Jacks,playlist_import,,USAR17400171,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1973,recording_first_release_date,0,-1,4a708ce4-740e-4d97-a25b-8e9c9e88caa5,Seasons in the Sun,f14cb1f9-e6db-4679-9330-dbc4ca8d95f4,Seasons in the Sun (Expanded Edition),,
Here Comes The Sun - Remastered 2009,The Beatles,,,,,1969,1969,Abbey Road (Remastered),album,1969-09-26,185733,The Beatles,7,1,1969,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,playlist_import,,GBAYE0601696,true,,,,no_match,no_year,,,unusable,,,,,,,,,,
Let It Be - Remastered 2009,The Beatles,,,,,1970,1970,Let It Be (Remastered),album,1970-05-08,243026,The Beatles,6,1,1970,mb_ok,isrc,0.96,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,playlist_import,,GBAYE0601713,true,,,,ok,alternative_later_than_current_mb,compilation_context+various_artists_context+noisy_release_context,remastered,manual_version_risk,2020,recording_first_release_date,50,50,881ea822-c5b6-4c1e-b01d-ae2c058984d7,Let It Be (Remastered 2009),b0d3e068-90dd-4129-8768-d1f42f66d995,Now That’s What I Call Winter Anthems,,
You Really Got Me,The Kinks,,,,,1964,1964,Kinks (Deluxe),album,1964-10-02,131573,The Kinks,7,1,1964,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,29SyMC0plk6qw8NMF7lfRL,You Really Got Me,The Kinks,playlist_import,,GBAJE6400005,true,,,,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1964,recording_first_release_date,0,0,7491cee5-32f2-4d5e-82d1-9823418e38fb,You Really Got Me,4df4fcae-8d23-4c75-85b6-7c9f53831f1f,Kinks (deluxe),,
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,,,,,1995,1995,I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],single,1995,187293,The Rembrandts,1,1,1995,mb_ok,text,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,,1lfjTOtTRUDkzcmahA4lcs,"I'll Be There for You (Theme from ""Friends')",The Rembrandts,playlist_import,,USEE10900777,true,,,,error,no_year,,,unusable,,,,,,,,,,
Stop! In The Name Of Love,The Supremes,,,,,1965,1965,More Hits By The Supremes,album,1965-07-23,172906,The Supremes,4,1,1965,mb_ok,isrc,1.00,,,skipped_off,,,,,,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,,52FlwUMMDnTK8TGkCag9Jd,Stop! In The Name Of Love,The Supremes,playlist_import,,USMO16500288,true,,,,ok,confirms_current_mb_and_spotify,best_of_context+live_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1965,recording_first_release_date,0,0,f3eeea0d-5622-4904-b8f9-582cdd2d5c68,Stop! In the Name of Love,f099dd43-0031-3012-8655-73c711bc531b,At the Copa,,
No Limit,2 Unlimited,,,,,2014,2014,Unlimited Hits & Remixes,compilation,2014-05-05,223685,2 Unlimited,1,1,1993,mb_ok,isrc,1.00,,,skipped_off,,,,no_result,1993,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,1hGvGM76KOX6tpAyaHB0au,No Limit,2 Unlimited,playlist_import,,BEAA19507007,true,,,1993,,,,,,,,,,,,,,,
SOS,ABBA,,,,,2008,2008,ABBA Gold,compilation,2008-01-01,201360,ABBA,10,1,1975,mb_ok,isrc,1.00,,,skipped_off,,2001,,,1975,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,5pMmWfuL0FTGshYt7HVJ8P,SOS,ABBA,playlist_import,,SEAYD7501040,true,,,1975,,,,,,,,,,,,,,,
Black Velvet,Alannah Myles,,,,,1989,1989,Alannah Myles,album,1989,287440,Alannah Myles,3,1,1989,mb_ok,isrc,1.00,,,skipped_off,,,,,1989,auto_accepted_mb,auto: MusicBrainz strong match,,1KU5EHSz04JhGg3rReGJ0N,Black Velvet,Alannah Myles,playlist_import,,USAT20103053,true,,,1989,,,,,,,,,,,,,,,
The Free Electric Band,Albert Hammond,,,,,1973,1973,The Free Electric Band,album,1973-08-16,206706,Albert Hammond,6,1,1973,mb_ok,isrc,1.00,,,skipped_off,,,,,1973,auto_accepted_mb,auto: MusicBrainz strong match,,2bbIswC2E2MMSSjcHFD17G,The Free Electric Band,Albert Hammond,playlist_import,,USSM17300806,true,,,1973,,,,,,,,,,,,,,,
Take Me Tonight,Alexander Klaws,,,,,2003,2003,Take Your Chance,album,2003-04-28,242400,Alexander,1,1,2003,mb_ok,isrc,0.96,,,skipped_off,,,,,2003,auto_accepted_mb,auto: MusicBrainz strong match,,2lWLGJ0C4vCi8EmNAvzzzm,Take Me Tonight,Alexander Klaws,playlist_import,,DEC730300065,true,,,2003,,,,,,,,,,,,,,,
Mr. Saxobeat,Alexandra Stan,,,,,2016,2016,Sundown (Original Motion Picture Soundtrack),compilation,2016-05-06,195105,Various Artists,13,1,2011,mb_ok,isrc,0.80,,,skipped_off,,,,no_result,2011,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,2BTSWfjaTMYWCxhmVRhqLK,Mr. Saxobeat,Alexandra Stan,playlist_import,,ROCRP1002864,true,,,2011,,,,,,,,,,,,,,,
I Swear,All-4-One,,,,,1994,1994,All-4-One,album,1994,259853,All-4-One,4,1,1994,mb_ok,isrc,1.00,,,skipped_off,,,,,1994,auto_accepted_mb,auto: MusicBrainz strong match,,4WUnM4KNZ0kjp0CUeoyOnS,I Swear,All-4-One,playlist_import,,USAT29400058,true,,,1994,,,,,,,,,,,,,,,
Sofia,Alvaro Soler,,,,,2016,2016,Eterno Agosto,album,2016-07-15,210466,Alvaro Soler,1,1,2016,mb_ok,isrc,1.00,,,skipped_off,,,,,2016,auto_accepted_mb,auto: MusicBrainz strong match,,5vj59ONIVbyhcrI8ZSwoRo,Sofia,Alvaro Soler,playlist_import,,DEUM71601055,true,,,2016,,,,,,,,,,,,,,,
Solo Para Ti,"Alvaro Soler, Topic",,,,,2022,2022,Solo Para Ti,single,2022-04-22,198106,"Alvaro Soler, Topic",1,1,2022,mb_ok,isrc,1.00,,,skipped_off,,,,,2022,auto_accepted_mb,auto: MusicBrainz strong match,,2uAgZ0PelSImQe3BME9CiT,Solo Para Ti,"Alvaro Soler, Topic",playlist_import,,DEUM72201943,true,,,2022,,,,,,,,,,,,,,,
Arrivederci Claire,Andy Borg,,,,,2002,2002,Herzklopfzeichen,album,2002-01-01,189800,Andy Borg,20,1,2002,mb_ok,isrc,1.00,,,skipped_off,,,,,2002,auto_accepted_mb,auto: MusicBrainz strong match,,0iSRq1li0tV14LuvlfLXtN,Arrivederci Claire,Andy Borg,playlist_import,,DEA600200669,true,,,2002,,,,,,,,,,,,,,,
People Everyday,Arrested Development,,,,,1992,1992,"3 Years, 5 Months And 2 Days In The Life Of...",album,1992-03-24,206893,Arrested Development,3,1,1992,mb_ok,isrc,1.00,,,skipped_off,,,,,1992,auto_accepted_mb,auto: MusicBrainz strong match,,6JvodgYcsthsORxPsEYUoe,People Everyday,Arrested Development,playlist_import,,USCH39200007,true,,,1992,,,,,,,,,,,,,,,
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],"Asaf Avidan, The Mojos, Wankelmut",,,,,2012,2012,One Day / Reckoning Song (Wankelmut Remix),single,2012-10-08,215186,"Asaf Avidan, The Mojos",1,1,2012,mb_ok,isrc,0.80,,,skipped_off,,,,,2012,auto_accepted_mb,auto: MusicBrainz strong match,,5bGG1abhVIUm6EAa36ipRX,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],"Asaf Avidan, The Mojos, Wankelmut",playlist_import,,DEQ321200132,true,,,2012,,,,,,,,,,,,,,,
So Am I,Ava Max,,,,,2020,2020,Heaven & Hell,album,2020-09-18,184295,Ava Max,14,1,2019,mb_ok,isrc,1.00,,,skipped_off,,,,,2019,auto_accepted_mb,auto: MusicBrainz strong match,,2Xnv3GntqbBH1juvUYSpHG,So Am I,Ava Max,playlist_import,,USAT21900569,true,,,2019,,,,,,,,,,,,,,,
Obsesion,"Aventura, Judy Santos",,,,,2002,2002,We Broke The Rules,album,2002-06-01,254720,Aventura,1,1,2002,mb_ok,isrc,1.00,,,skipped_off,,,,,2002,auto_accepted_mb,auto: MusicBrainz strong match,,65H6t1WQBim6q93yM8fEwn,Obsesion,"Aventura, Judy Santos",playlist_import,,US83W0500074,true,,,2002,,,,,,,,,,,,,,,
Wake Me Up,Avicii,,,,,2013,2013,True,album,2013-09-16,247426,Avicii,1,1,2013,mb_ok,isrc,0.80,,,skipped_off,,,,,2013,auto_accepted_mb,auto: MusicBrainz strong match,,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,playlist_import,,SEUM71301326,true,,,2013,,,,,,,,,,,,,,,
Tarzan Boy,Baltimora,,,,,1985,1985,Living In The Background,album,1985-01-01,378946,Baltimora,1,1,1984,mb_ok,isrc,0.96,,,skipped_off,,,,,1984,auto_accepted_mb,auto: MusicBrainz strong match,,273uCXd7NPrInaiNqtkOrA,Tarzan Boy,Baltimora,playlist_import,,ITD008500001,true,,,1984,,,,,,,,,,,,,,,
Venus,Bananarama,,,,,1986,1986,True Confessions (Collector's Edition),album,1986-01-01,229164,Bananarama,6,1,1986,mb_ok,isrc,1.00,,,skipped_off,,,,,1986,auto_accepted_mb,auto: MusicBrainz strong match,,4XX1pFUkQOZTYp6Hb6a6Ae,Venus,Bananarama,playlist_import,,GBAAP9600095,true,,,1986,,,,,,,,,,,,,,,
Dubi Dam Dam - Radio Edit,Banaroo,,,,,2005,2005,Banaroo's World,album,2005-06-20,217240,Banaroo,1,1,2005,mb_ok,isrc,0.96,,,skipped_off,,,,,2005,auto_accepted_mb,auto: MusicBrainz strong match,,6FRw4Ed7mA8b1bVbWVL3yI,Dubi Dam Dam - Radio Edit,Banaroo,playlist_import,,DEBA20500001,true,,,2005,,,,,,,,,,,,,,,
Let The Music Play,Barry White,,,,,2009,2009,Number Ones,compilation,2009-05-19,213400,Barry White,13,1,1975,mb_ok,isrc,1.00,,,skipped_off,,1975,,,1975,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,2sR6PY1YgPZTB8hZflRbFq,Let The Music Play,Barry White,playlist_import,,USIR20200274,true,,,1975,,,,,,,,,,,,,,,
Was du Liebe nennst,Bausa,,,,,2017,2017,Was Du Liebe nennst,single,2017-09-29,203630,Bausa,1,1,2017,mb_ok,isrc,0.96,,,skipped_off,,,,,2017,auto_accepted_mb,auto: MusicBrainz strong match,,4hKWUzhQWsOkgT6LnDEASe,Was du Liebe nennst,Bausa,playlist_import,,DEA621702378,true,,,2017,,,,,,,,,,,,,,,
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,,,,,2020,2020,How Can You Mend A Broken Heart,compilation,2020-12-11,212800,Bee Gees,16,1,1977,mb_ok,isrc,0.96,,,skipped_off,,,,no_result,1977,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,0qemIQjSxcKyf42VPfZnfa,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,playlist_import,,NLF057790035,true,,,1977,,,,,,,,,,,,,,,
Samba de Janeiro - Radio Edit,Bellini,,,,,1997,1997,Samba de Janeiro,single,1997-01-01,168447,Bellini,1,1,1996,mb_ok,isrc,1.00,,,skipped_off,,,,,1996,auto_accepted_mb,auto: MusicBrainz strong match,,4YopUHLBgDj3l17HYm2OoX,Samba de Janeiro - Radio Edit,Bellini,playlist_import,,DEG129700451,true,,,1996,,,,,,,,,,,,,,,
Unsere Lieder,Ben Zucker,,,,,2022,2022,Unsere Lieder,single,2022-07-08,180853,Ben Zucker,1,1,2022,mb_ok,isrc,0.96,,,skipped_off,,,,,2022,auto_accepted_mb,auto: MusicBrainz strong match,,2GGJzyfq6mNovzf5vqv9MQ,Unsere Lieder,Ben Zucker,playlist_import,,DEUM72202455,true,,,2022,,,,,,,,,,,,,,,
Blondes Wunder,Bernhard Brink,,,,,2001,2001,Direkt mehr,album,2001-01-01,220253,Bernhard Brink,14,1,2001,mb_ok,isrc,1.00,,,skipped_off,,,,,2001,auto_accepted_mb,auto: MusicBrainz strong match,,6Nrs5TM730JUEp44XKOWqu,Blondes Wunder,Bernhard Brink,playlist_import,,DEA600100316,true,,,2001,,,,,,,,,,,,,,,
Sweet Sixteen - Remastered 2001,Billy Idol,,,,,2001,2001,Greatest Hits,compilation,2001-01-01,254733,Billy Idol,11,1,1986,mb_ok,isrc,0.96,,,skipped_off,,,,no_result,1986,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,,3kyW3qviTr2dIyvqa1lEWC,Sweet Sixteen - Remastered 2001,Billy Idol,playlist_import,,USCH30100011,true,,,1986,,,,,,,,,,,,,,,
Could You Be Loved,Bob Marley & The Wailers,,,,,1980,1980,Uprising,album,1980-06-10,237000,Bob Marley & The Wailers,8,1,1980,mb_ok,isrc,1.00,,,skipped_off,,,,,1980,auto_accepted_mb,auto: MusicBrainz strong match,,5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Bob Marley & The Wailers,playlist_import,,USIR28000016,true,,,1980,,,,,,,,,,,,,,,
Sunny,Bobby Hebb,,,,,1966,1966,Sunny,album,1966-01-01,165066,Bobby Hebb,1,1,1966,mb_ok,isrc,1.00,,,skipped_off,,,,,1966,auto_accepted_mb,auto: MusicBrainz strong match,,4vju55Ag7apDL2CfotuE7Q,Sunny,Bobby Hebb,playlist_import,,USPR39402093,true,,,1966,,,,,,,,,,,,,,,
Daddy Cool,Boney M.,,,,,1976,1976,Take The Heat Off Me,album,1976,208600,Boney M.,1,1,1976,mb_ok,isrc,1.00,,,skipped_off,,,,,1976,auto_accepted_mb,auto: MusicBrainz strong match,,3WMbD1OyfKuwWDWMNbPQ4g,Daddy Cool,Boney M.,playlist_import,,DEC737600002,true,,,1976,,,,,,,,,,,,,,,
Everytime,Britney Spears,,,,,2003,2003,In The Zone,album,2003-11-13,230306,Britney Spears,12,1,2003,mb_ok,isrc,1.00,,,skipped_off,,,,,2003,auto_accepted_mb,auto: MusicBrainz strong match,,0dRhSF9LV0HR8Jwd3MMMKJ,Everytime,Britney Spears,playlist_import,,USJI10301010,true,,,2003,,,,,,,,,,,,,,,
