title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Mädchen N° 1 (feat. Billy Allen),"Hausmarke, Billy Allen",1998,1tcaz2Piaji5jiCmItG0Ah,DEE869800378,Weltweit,album,1998-03-23,290373,Hausmarke,3,1
Sie macht micht glücklich,D-Flame,2000,0RGshURY2XF0ikg9oVzRwP,DEPI81401642,Basstard,album,2000,229640,D-Flame,5,1
Ladies & Gentlemen,Dynamite Deluxe,2000,0UKJzXJ7ffg6kHguTEAVfr,DEPI81902443,Deluxe Soundsystem,album,2000-03-26,226880,Dynamite Deluxe,14,1
Steh wieder auf,Deine Lieblingsrapper,2005,4FfjZs7kaFPa8mMsM9gaim,DEZ470500263,Dein Lieblingsalbum,album,2005-10-27,229533,Deine Lieblingsrapper,19,1
Blinded,Samy Deluxe,2005,4sxIW46ha3nxEkAF3xi47D,DECL50500023,So Deluxe so Glorious,album,2005-11-04,185160,Samy Deluxe,7,1
Wie jetzt,Dynamite Deluxe,2000,5ZZR3IitTL7OKJUukCXKZN,DEPI81902431,Deluxe Soundsystem,album,2000-03-26,180920,Dynamite Deluxe,2,1
Sorry,"D-Flame, Eißfeldt 65",2000,0Nz2hN5fWMtBMZhn586rwC,DEPI81401648,Basstard,album,2000,282853,D-Flame,11,1
Lass uns doch Freunde sein,Curse,2001,3JyeORL9NQW6LnkkjmCao1,DEA790104603,Von innen nach aussen,album,2001,216866,Curse,3,1
Pures Gift,Dynamite Deluxe,1999,0nGQ7sn05TQOzAGkNiwKoA,DEPI81903069,The Classic Vinyl Files,single,1999-09-13,226506,Dynamite Deluxe,3,1
Wahre Liebe,Curse,2006,1Crg0WNS59CXBM8DycTa7V,DEA810600795,Einblick Zurück! (Mixtape Classics Cuts - 1996 - 2006),compilation,2006-08-04,87066,Curse,11,1
Witten City,"Creutzfeld & Jakob, Mess, Kornel, T. Chill, F.I.N.K.",2003,7MWaGd4jZI9y54jCbuaHMI,DEN120305643,2 Mann Gegen Den Rest!,album,2003-01-01,326093,Creutzfeld & Jakob,13,1
Do What You Feel - Skit,Creutzfeld & Jakob,2003,2V5EH2JUTkBPtnN2Mp7iwe,DEN120305637,2 Mann Gegen Den Rest!,album,2003-01-01,77773,Creutzfeld & Jakob,8,1
Intro,"Stieber Twins, DJ Mario ""Kool"" Man",1997,4uLZz15mhfWJocRKCDI3qy,DEZC62421451,Fenster zum Hof,album,1997-03-10,89853,Stieber Twins,1,1
Fenster zum Hof,Stieber Twins,1997,31fgtCB1ixNQXhLZ4w2pIT,DEZC62421452,Fenster zum Hof,album,1997-03-10,363213,Stieber Twins,2,1
Allein zu zweit - MagMar Remix,"Stieber Twins, DJ Mirko Machine, MagMar",1997,2GQWED0f9NCtqragpSNGoS,DEZC62421453,Fenster zum Hof,album,1997-03-10,243213,Stieber Twins,3,1
Sehr Geil - Best of Sektetapes,"B-Tight, Sido, Joka, Gauner, Vokalmatador",2017,4SftfO9Npp7DE5jx8dIibX,DEQ121643273,Wer hat das Gras weggeraucht? (Deluxe Version),album,2017-02-03,227613,B-Tight,18,1
Heisser,D-Flame,2000,4zSp24HB8QmjNjWjqGZQDq,DEPI81401641,Basstard,album,2000,212440,D-Flame,4,1
RADW,"Haftbefehl, Bazzazian",2020,2LtD83L2gaZxvAqTaNw7EO,DEUM72000982,Das weisse Album,album,2020-06-04,197133,Haftbefehl,6,1
Wir waren mal Stars,"Torch, Toni-L",2000,4InISu1MzAxt2cJcUbm6us,DEE861101078,Blauer Samt,album,2000-09-25,280400,Torch,5,1
Danke,Die Fantastischen Vier,2010,5M1Coybff67lURqcwEQZeb,DEE861000383,Für Dich Immer Noch Fanta Sie,album,2010-05-14,248240,Die Fantastischen Vier,8,1
Ave Maria,"Kollegah, Farid Bang",2018,2jHPaOudFNLHQwNJSP2cAi,DELV41702364,Jung Brutal Gutaussehend XXX,album,2018-09-28,202235,"Kollegah, Farid Bang",2,1
Du bist Boss,Kollegah,2014,32IKJthM7ARKvGBTZCE1Et,DEDG61400011,King,album,2014-05-09,163506,Kollegah,8,1
Rotlichtsonate,Kollegah,2021,4TXJ3MopLcewWQUjkuYL2w,CH7812194032,"Zuhältertape, Vol. 5",album,2021-10-08,228066,Kollegah,1,1
Nuttööö,SSIO,2013,59BhNnVBBXKhUjONX7jlrk,DEQ121320116,BB.U.M.SS.N. (Spezial Edition),album,2013-09-13,214746,SSIO,15,1
Nautilus,Shindy,2019,4qOTcNt9fUBA1PhA2VFg8W,DEXH31800010,Drama,album,2019-07-12,183692,Shindy,10,1
Einmal um die Welt,CRO,2012,6gQAyT7B7cYGTRBOiFdQUS,DEW921100151,Raop,album,2012-07-06,142462,CRO,11,1
Denk an die Kinder,Alligatoah,2015,7AP0XRWfP1QhDs4MdjsJqb,DEQ121534863,Musik ist keine Lösung,album,2015-11-27,231760,Alligatoah,2,1
Du bist schön,Alligatoah,2015,1Zr0y5aFwyUoRZzFPuxB2F,DEQ121534872,Musik ist keine Lösung,album,2015-11-27,228213,Alligatoah,11,1
Musik ist keine Lösung,Alligatoah,2015,5ZAyNbEdh9JBgXRCOWIPLK,DEQ121534876,Musik ist keine Lösung,album,2015-11-27,251746,Alligatoah,15,1
Fledermausland,Trailerpark,2014,0kbplL6BBeCphNLwZoZpTB,DEQ121216544,Crackstreet Boys 3 (Bonus Tracks Version),album,2014-12-05,259306,Trailerpark,14,1
Marteria Girl,Marteria,2010,438TNAPHgJ5gCAMagaFnzr,DEQ321000087,Zum Glück in die Zukunft (Premium Version),album,2010-08-27,210133,Marteria,6,1
Falsche Band,Trailerpark,2014,4Z3GtsDgpEuP3Xrid8KKju,DEQ121426920,Crackstreet Boys 3 (Bonus Tracks Version),album,2014-12-05,212693,Trailerpark,3,1
Wem mach ich was vor,Tua,2019,00yXb1NU2vtNBUxsRhahX6,DEW921801283,Tua,album,2019-03-22,175907,Tua,5,1
Sturmmaske auf (Intro),"Kollegah, Farid Bang",2018,7eON4eNvLFMrQUjiF73APq,DELV41702407,Jung Brutal Gutaussehend XXX,album,2018-09-28,231353,"Kollegah, Farid Bang",1,1
