title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Wake Me Up Before You Go-Go,Wham!,1984,0ikz6tENMONtK6qGkOrU3c,GBBBN0009712,Make It Big,album,1984-10-23,231333,Wham!,1,1
Here Comes the Hotstepper,iNi Kamoze,2001,4vfzROmNsxedKICcHod5Rh,USSM19802296,On Your 90's Radio,compilation,2001-01-01,244813,Various Artists,19,1
Bad,Michael Jackson,1995,3FvQH46A4B37eNHjooIXcu,USSM18700002,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,1995-06-16,247368,Michael Jackson,6,1
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,0HOrDVS349XFcpCYsO2hAP,USPR39401742,Not Fragile,album,1974,234866,Bachman-Turner Overdrive,4,1
The Sign,Ace of Base,1993,0hrBpAOgrt8RXigk83LLNE,SEVJH0803404,The Sign,album,1993-12-24,191240,Ace of Base,4,1
"Harder, Better, Faster, Stronger",Daft Punk,2001,5W3cjX2J3tjhG8zb6u0qHn,GBDUW0000059,Discovery,album,2001-03-12,226413,Daft Punk,4,1
Wannabe,Spice Girls,1996,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008,Spice,album,1996-01-01,173026,Spice Girls,1,1
Hallihallo,Andreas Gabalier,2018,0OPQRCqdgAfgghajirG91o,DEUM71801228,Vergiss mein nicht,album,2018-06-01,213986,Andreas Gabalier,2,1
Kiss (When The Sun Don’t Shine),Vengaboys,2000,2dPhjZxTNUUlJRMwgsAJxk,NLC529911140,The Platinum Album,album,2000-03-13,211168,Vengaboys,3,1
Mexico,Les Humphries Singers,1982,0lLQ5Bgf2hAg8TU33xoiGX,DEA619351670,PORTRAIT - THE LES HUMPHRIES SINGERS,album,1982,225600,Les Humphries Singers,6,1
Sun Is Up,INNA,2011,6V2qGKZWIR7xsbhFtUQdsn,USUS11100418,I Am The Club Rocker,album,2011-09-27,224531,INNA,5,1
Sweet Freedom,Michael McDonald,1986,4ZsYF5rjUXIwds6KNimPRo,USUM72107422,Running Scared Original Soundtrack,compilation,1986-01-01,459906,Various Artists,2,1
Love Generation,"Bob Sinclar, Gary Pine",2011,0dvBxpL7aCjiKMFtsZRsFd,FRQ380500330,Dance Top 100 Best Ever 3,compilation,2011,209920,Various Artists,3,1
Saturday Night,Whigfield,2014,0nIbbqHSaenYtibtoSKYaF,DEA319600883,Hits Of The 90s,compilation,2014-09-05,246266,Various Artists,3,1
The Locomotion,Little Eva,1962,5xzdDMhFYiuUONB0Mha9VS,GBAYE6200144,Llllloco-Motion,album,1962-01-01,139120,Little Eva,1,1
"Let's Go Dancin' (Ooh La, La, La) - Single Version",Kool & The Gang,2018,1tcC3OHLh3ROsSIwfM8bEp,USMR18287019,Collected,compilation,2018-05-25,239520,Kool & The Gang,5,2
Daddy DJ,Daddy DJ,2017,6MPTmoLt4IaL1XKRgKER4I,QM6N21558928,"Best Of Dance Compilation Tracks, Vol. 14",compilation,2017-04-09,218360,Various Artists,8,1
My Sharona,The Knack,1979,1HOMkjp0nHMaTnfAkslCQj,USCA28900153,Get The Knack,album,1979-01-01,295400,The Knack,7,1
Oye Mi Canto,Gloria Estefan,1989,3SzdlxAyPc6ryrPCAEob4N,USSM18900359,Cuts Both Ways,album,1989-07-06,295466,Gloria Estefan,11,1
Wipe Out,The Surfaris,2005,4SDGb2V6J2rEbxNujwNeMl,USTC40862543,Wipe Out,compilation,2005-01-01,166092,The Surfaris,3,1
Honky Tonk Women,The Rolling Stones,2019,3fnPv1LRMxENr63afVhaz1,USA171920240,Honky Tonk Women / You Can't Always Get What You Want,single,2019-11-29,182706,The Rolling Stones,3,1
i like the way you kiss me,Artemas,2024,2GxrNKugF82CnoRFbQfzPf,QZJ842400387,i like the way you kiss me,single,2024-03-19,142514,Artemas,1,1
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018,7ef4DlsgrMEH11cDZd32M6,GBARL1800368,One Kiss (with Dua Lipa),single,2018-04-06,214846,"Calvin Harris, Dua Lipa",1,1
Da Doo Ron Ron (When He Walked Me Home),The Crystals,2011,0fonScmHUzC0MglSLn9saA,USQX91100116,Da Doo Ron Ron: The Very Best of The Crystals,compilation,2011-02-22,140120,The Crystals,12,1
As It Was,Harry Styles,2022,4LRPiXqCikLlN15c3yImP7,USSM12200612,As It Was,single,2022-03-31,167303,Harry Styles,1,1
California Girls,The Beach Boys,2012,0mwr3py9MZIOdvOrI31h6r,USCA21202105,50 Big Ones: Greatest Hits,compilation,2012-01-01,166520,The Beach Boys,1,1
Low (feat. T-Pain),"Flo Rida, T-Pain",2008,0CAfXk7DXMnon4gLudAp7J,USAT20705841,Mail on Sunday,album,2008-03-17,231400,Flo Rida,5,1
On The Floor,"Jennifer Lopez, Pitbull",2011,3C0nOe05EIt1390bVABLyN,USUM71104034,Love?,album,2011-04-29,284866,Jennifer Lopez,1,1
School's Out,Alice Cooper,1972,5Z8EDau8uNcP1E8JvmfkZe,USWB19900782,School's Out,album,1972,210106,Alice Cooper,1,1
Sweet Caroline,Neil Diamond,1969,62AuGbAkt8Ox2IrFFb8GKV,USMC16991138,Sweet Caroline,album,1969-06-06,203573,Neil Diamond,13,1
Mi Gente - Original Mix,"J Balvin, Willy William",2017,7lHZVqUWCH19fUw0ZI2euy,FR22F1701790,Mi Gente,single,2017-06-30,189029,"J Balvin, Willy William",1,1
Levels - Radio Edit,Avicii,2011,5UqCQaDshqbIk3pkhy4Pjg,SEUM71100962,Levels,single,2011-10-28,199906,Avicii,1,1
Stuck In The Middle With You,Stealers Wheel,1972,3Vby4nGmtbDo7HDJamOWkT,GBAAM7200002,Stealers Wheel,album,1972-01-01,208946,Stealers Wheel,2,1
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014,0puf9yIluy9W0vpMEUoAnN,USUM71409737,Sweet Talker (Deluxe Version),album,2014-10-10,199386,Jessie J,4,1
Friday On My Mind,The Easybeats,1965,3Jw1RfDEUEBBIIyNjGt9xP,AUAP06600062,Easy,album,1965-01-01,174760,The Easybeats,18,1
French Kiss - The Original Underground Mix,"Lil' Louis, The World",1996,7hnqJYCKZFW7vMoykaraZG,USSM18900036,Club Epic - A Collection Of Classic Dance Mixes: Volume 4,compilation,1996-01-30,591733,Various Artists,6,1
Like a Prayer,MadHouse,2002,0PLGnOgmf8RPgZNkaaSYyM,FRO060200100,Absolutely Mad,album,2002,264293,MadHouse,2,1
Rock Your Baby,George McCrae,2010,6pMHMzwTsWIxLigr54GGVm,GBAYE7400155,The Singles 1974 - 76,album,2010-10-15,200053,George McCrae,1,1
Round Round,Sugababes,2002,5O2Ft5ENCfAh6JCgykJs76,GBAAN0201114,Angels With Dirty Faces,album,2002-01-01,236426,Sugababes,3,1
Let's Talk About Sex,Salt-N-Pepa,1990,6hTBP6QLwJdxbKyLlLXrGo,USIR20180412,Blacks' Magic,album,1990-01-01,213266,Salt-N-Pepa,10,1
Ti Sento,Matia Bazar,1985,72BnKkKnrOeCDY9vy2avFk,ITPOO8500002,Melanchólia,album,1985-01-01,255000,Matia Bazar,1,1
Stronger,Kanye West,2007,0j2T0R9dR9qdJYsB7ciXhf,USUM70741299,Graduation,album,2007-09-11,311866,Kanye West,3,1
Candyman,Christina Aguilera,2006,5lUTzPuiloBHm1qEaJcJfF,USRC10600413,Back To Basics,album,2006-08-14,194213,Christina Aguilera,3,2
How Do You Do!,Roxette,2016,2D7GRdSAcRkBsDtXsnjh1v,SEAMA9252010,Don't Bore Us - Get to the Chorus! Roxette's Greatest Hits,compilation,2016-06-10,189093,Roxette,12,1
Pray,DJ BoBo,1996,0UQhKr79tTjADwLHb77CwE,DEMI69600002,World in Motion,album,1996-09-30,232040,DJ BoBo,2,1
I Want It That Way,Backstreet Boys,1999,47BBI51FKFwOMlIiX6m8ya,USJI19910614,Millennium,album,1999-05-18,213306,Backstreet Boys,2,1
Rhythm Of The Night,DeBarge,1985,5yGTQzYbEdY6B9RFZJypgt,USMO18500526,Rhythm Of The Night,compilation,1985,229106,DeBarge,9,1
The Emptiness Machine,Linkin Park,2024,2PnlsTsOTLE5jnBnNe2K0A,USWB12403464,The Emptiness Machine,single,2024-09-05,190427,Linkin Park,1,1
Oh Carolina,Shaggy,2008,6uufzRkA8oCsvnz2QSoJ4J,GBAAA9200185,The Best Of Shaggy,compilation,2008-01-01,194213,Shaggy,3,1
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,USSM18600196,The Final Countdown (Expanded Edition),album,1986,310333,Europe,1,1
A Dios Le Pido,Juanes,2002,129lYDVKnWtlJc2PZJviuA,USUL10200158,Un Día Normal,album,2002-01-01,205373,Juanes,1,1
Mr. Brightside,The Killers,2004,003vvx7Niy0yvhvHt4a68B,USIR20400274,Hot Fuss,album,2004,222973,The Killers,2,1
Bootylicious,Destiny's Child,2001,41nT1Sp6ChR65FbsdLlFHW,USSM10102677,Survivor,album,2001-05-01,207906,Destiny's Child,3,1
