title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Tutti Frutti,Little Richard,1957,2iXcvnD3d1gfLBum0cE5Eg,USC4R1100478,Here's Little Richard (Deluxe Edition),album,1957-03,144226,Little Richard,1,1
Vienna,Ultravox,2020,2LXjhNee4iPRVemx9NSZQ3,GBAYK8000061,Vienna [Deluxe Edition]: 40th Anniversary,album,2020-01-01,294146,Ultravox,8,1
Hello,Lionel Richie,1983,6HMvJcdw6qLsyV1b5x29sa,USMO18390012,Can't Slow Down,album,1983-01-01,246933,Lionel Richie,8,1
APT.,"ROSÉ, Bruno Mars",2024,5vNRhkKd0yEAg8suGBpjeY,USAT22409172,APT.,single,2024-10-18,169917,"ROSÉ, Bruno Mars",1,1
Die Young,Sheppard,2019,0XSTOKFdWPXlAEliq17XRw,AUIYA1900004,Die Young,single,2019-10-18,235500,Sheppard,1,1
Hit 'Em Up Style (Oops!),Blu Cantrell,2001,4zYTZvtcww7OWKie7fxA9E,USAR10100372,So Blu,album,2001-07-30,250706,Blu Cantrell,2,1
Call Me Maybe,Carly Rae Jepsen,2012,20I6sIOMTCkB6w7ryavxtO,CAB391100615,Kiss,album,2012-01-01,193400,Carly Rae Jepsen,3,1
No Woman No Cry,Bob Marley & The Wailers,1974,3PQLYVskjUeRmRIfECsL0X,GBAAN7490002,Natty Dread,compilation,1974,226240,Bob Marley & The Wailers,2,1
Slow Hands,Niall Horan,2017,2cOUlop2ZakjOKe4WinesN,USUG11700631,Flicker (Deluxe),album,2017-10-20,188174,Niall Horan,4,1
I'm Yours,Jason Mraz,2008,1EzrEOXmMH3G43AXT1y7pA,USEE10800667,We Sing. We Dance. We Steal Things.,album,2008-05-01,242946,Jason Mraz,2,1
Bridge Over Troubled Water,Simon & Garfunkel,1970,6l8EbYRtQMgKOyc1gcDHF9,USSM16900808,Bridge Over Troubled Water,album,1970-01-26,296462,Simon & Garfunkel,1,1
Ain't No Sunshine - Single Version,Bill Withers,1994,7kWaNdfYcumoC1cgFmhkSo,USSM17100268,Lean on Me: The Best of Bill Withers,compilation,1994-08-09,124226,Bill Withers,1,1
"Hey, Soul Sister",Train,2010,4HlFJV71xXKIGcU3kRyttv,USSM10904113,"Save Me, San Francisco (Golden Gate Edition)",album,2010-12-01,216773,Train,2,1
Gangsta's Paradise,"Coolio, L.V.",1995,1DIXPcTDzTj8ZMHt3PDt8p,USTB10400128,Gangsta's Paradise,album,1995-11-07,240693,Coolio,2,1
Price Tag,"Jessie J, B.o.B",2011,2fTsFCKRFQ5M0igJgabnLA,USUM71029357,Who You Are (Platinum Edition),album,2011-01-01,223053,Jessie J,1,1
The Great Pretender,The Platters,1991,6Q2pkSKuM08SDOuAS5amQD,USPR39402506,The Magic Touch: An Anthology,compilation,1991-01-01,159066,The Platters,3,1
Sweet Nothin's,Brenda Lee,1960,4ZiDhG5Ift5I6reAEOBBec,USMC15919970,Brenda Lee,album,1960-08-01,144600,Brenda Lee,7,1
Get Get Down,Paul Johnson,1999,4h4AEqy0iBbjdlbtWvIx5O,QMLA71300087,Get Get Down,single,1999,367786,Paul Johnson,1,1
A Good Heart,Feargal Sharkey,1985,4umQbcdBF3YVsNBvvnFLiX,GBAAA8500024,Feargal Sharkey,album,1985-01-01,281800,Feargal Sharkey,1,1
Hurricane,Bob Dylan,1976,1lqMLr9Wj7SM2F9AikGcxN,USSM17500791,Desire,album,1976-01-16,512609,Bob Dylan,1,1
Jolene,Dolly Parton,1974,2SpEHTbUuebeLkgs9QB7Ue,USRN19600096,Jolene,album,1974-02-04,163275,Dolly Parton,1,1
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,1999,7A0apkTSTvMbSI7yplcmlh,USRC10000532,Christina Aguilera (Expanded Edition),album,1999,203333,Christina Aguilera,6,2
Beautiful Girls,Sean Kingston,2007,1hGy2eLcmC8eKx7qr1tOqx,USSM10701781,Beautiful Girls,single,2007-07-23,225373,Sean Kingston,1,1
Crush,Jennifer Paige,1998,6wAV49hRfOiCTHztORMy8Y,DEB349800301,Crush,single,1998-08-31,200293,Jennifer Paige,1,1
Hero,Mariah Carey,1993,5mgCMlxQW7fmHbrdJuowbB,USSM19303171,Music Box,album,1993-08-31,257921,Mariah Carey,2,1
Ein bisschen Frieden,Nicole,1992,7JZHsMxhcaRKug5kA0DmDE,DEC718200001,Augenblicke,compilation,1992-02-03,181866,Nicole,10,1
Fight For This Love,Cheryl,2009,33IQnmtJYjCcrvUUMQgi80,GBUM70911955,3 Words,album,2009-01-01,223253,Cheryl,4,1
It Takes Two,"Marvin Gaye, Kim Weston",1966,0UERoCKd24PKovd4BwRzBQ,USMO16600484,Take Two,album,1966-08-25,177666,"Marvin Gaye, Kim Weston",1,1
Under the Boardwalk,The Drifters,1964,65jrjEhWfAvysKfnojk1i0,USAT20001017,Under the Boardwalk,album,1964-06-01,161960,The Drifters,2,1
Blueberry Hill,Fats Domino,1959,06PdA0DLgF4BfAeUNZAbFG,USEM38700119,Fats Domino Swings,album,1959-01-01,147880,Fats Domino,3,1
Heartbreak Hotel,Elvis Presley,2002,2IfE8FhnPPEBSS4rL1qhBb,USRC10200074,Elvis 30 #1 Hits,compilation,2002-09-24,127960,Elvis Presley,1,1
My Baby Just Cares for Me - 2012 Re-Issue,Nina Simone,2022,3NJKI4cwlSBuTYNmDoRVb3,USAA49230046,Feeling Good: Her Greatest Hits And Remixes,compilation,2022-02-11,220545,Nina Simone,2,1
Close To You,Maxi Priest,1990,33I3oS8UkebR3KRvqxD9X0,GBAAA9000061,Bonafide,album,1990-01-01,325800,Maxi Priest,2,1
Girl I'm Gonna Miss You,Milli Vanilli,2010,4vOo9fdrahQHyfdyE1J06w,DED169400021,The Best Year Of My Life: 1989,compilation,2010-04-30,224413,Various Artists,3,1
Rich Girl,Daryl Hall & John Oates,1976,0qRR9d89hIS0MHRkQ0ejxX,USRC17607760,Bigger Than Both Of Us,album,1976-08-01,142786,Daryl Hall & John Oates,2,1
All Kinds of Everything,Dana,2015,3SJPRPwpF0MTFKPrshBeKM,uscgh1615055,The Collection,album,2015-08-25,178960,Dana,1,1
King of My Castle,Wamdue Project,2009,5SIVWg2sHKAuHAXOelNS0m,AUXN20902454,King of My Castle,single,2009-07-04,491160,Wamdue Project,3,1
Breakaway,Kelly Clarkson,2004,4PFAm88FBkY7IFtvCaGctZ,GBCTA0400230,Breakaway,album,2004,237000,Kelly Clarkson,1,1
Lily Was Here (feat. Candy Dulfer),"Dave Stewart, Candy Dulfer",1990,5HVqftYQ37bJx3y0SI4obk,GBARL8900064,Saxuality,album,1990-06-08,260200,Candy Dulfer,1,1
Twist And Shout,The Isley Brothers,2005,7iFdUmdqT9XrsJdSGf9KrX,USACU0500314,Twist & Shout,album,2005,155400,The Isley Brothers,1,1
"Don't Cry For Me Argentina - From ""Evita""","Julie Covington, Andrew Lloyd Webber, Tim Rice",2018,1OxDEvjPoQrNhZ5c3tTxSu,USMC10111984,Unmasked: The Platinum Collection (Deluxe),album,2018-03-16,324720,Andrew Lloyd Webber,10,1
Bleeding Love,Leona Lewis,2007,7wZUrN8oemZfsEd1CGkbXE,GBHMU0700049,Spirit,album,2007,262466,Leona Lewis,1,1
Stand By Me,Ben E. King,1962,3SdTKo2uVsxFblQjpScoHy,USAT21402270,Don't Play That Song (Mono),album,1962-08-20,180055,Ben E. King,7,1
Lose Control,"MEDUZA, Becky Hill, Goodboys",2019,7CHi4DtfK4heMlQaudCuHK,DEUM71905792,Lose Control,single,2019-10-11,168387,"MEDUZA, Becky Hill, Goodboys",1,1
Do That To Me One More Time,Captain & Tennille,1999,6713iRkhqG9dOF0JIfzAdo,USPR37900077,Scrapbook,album,1999-01-01,229733,Captain & Tennille,1,1
Master Blaster (Jammin'),Stevie Wonder,2002,3X2DWkLXNVGCMxB23Zeg7I,USUMG9900475,The Definitive Collection (Deluxe Edition),compilation,2002-10-29,307306,Stevie Wonder,4,1
Someone Like You,Adele,2011,3bNv3VuUOKgrf5hu3YcuRo,GBBKS1000351,21,album,2011-01-24,285240,Adele,11,1
Ben - Single Version,Michael Jackson,1972,3vZMkLS1jP7NdNhzqGfUSW,USMO17282631,Ben,album,1972-08-04,165160,Michael Jackson,1,1
The Most Beautiful Girl In the World,Prince,1995,0aPaGIX2QIMAH5SMp0VEMe,USQX91801753,The Gold Experience,album,1995-09-26,265320,Prince,7,1
Papaoutai,Stromae,2013,53W8npbWVQo61IR8R88pra,BET671300160,Papaoutai,single,2013-01-01,231509,Stromae,1,1
Lullaby,The Cure,2001,09OpntwPHuNICsyEt1ETpE,GBALB0300002,Greatest Hits,compilation,2001-01-01,248973,The Cure,10,1
Big Big World,Emilia,1998,5I4xjdu4DeKUNMiufzQLoA,SEBLM9808010,Big Big World,album,1998-01-01,205466,Emilia,2,1
Only Girl (In The World),Rihanna,2010,0AH6WMe3OlAlUb5miXt2FQ,USUM71023200,Loud,album,2010-11-16,235493,Rihanna,5,1
Are You With Me,Lost Frequencies,2016,4255amV4enzl28KAn16rUO,NLF711403495,Less Is More,album,2016-10-21,138013,Lost Frequencies,12,1
Imagine - Remastered 2010,John Lennon,1971,7pKfPomDEeI4TPT6EOYjn9,GBAYE1000769,Imagine,album,1971-09-09,187866,John Lennon,1,1
The Twist,Chubby Checker,1962,6DSvUZQdqtNfkJI4cAiUsM,USI4R0502237,Chubby Checker Classics,compilation,1962-01-01,158866,Chubby Checker,3,1
Dance Little Sister,Sananda Maitreya,1987,4o9Kj7onklt6xbYl3jVArp,GBBBN8700001,Introducing The Hardline According To Sananda Maitreya,album,1987-07-06,234640,Sananda Maitreya,5,1
New Shoes,Paolo Nutini,2007,265Anh9hGoozFigjUVLUeD,GBAHS0600229,These Streets,album,2007-01-30,203653,Paolo Nutini,6,1
Still Got The Blues,Gary Moore,1994,5VsGMpbqdtvCY2G080KdcH,GBAAA9000111,Ballads & Blues 1982-1994,compilation,1994-01-01,250000,Gary Moore,2,1
Miles On It,"Marshmello, Kane Brown",2024,4pkb8SbRGeHAvdb87v9rpf,QZZVQ2400059,Miles On It,single,2024-05-03,168355,"Marshmello, Kane Brown",1,1
