title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year
Shape of You,Ed Sheeran,2017,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2017,2017,÷ (Deluxe),album,2017-03-03,233712,Ed Sheeran,4,1,2017,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,playlist_import,,GBAHS1600463,true,,,
Aloha-Ahe,Freddy Quinn,2013,csv_year,review_needed,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match,2013,2013,Weit ist der Weg,compilation,2013-11-21,213893,Freddy Quinn,3,1,,mb_no_match,,,,,skipped_off,,,,,,manual_skipped,review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match; manual: skipped for later review,,6oCNhDipqAForPCDGtTBQP,Aloha-Ahe,Freddy Quinn,playlist_import,,QMDA71378219,true,,,
Get Down,Gilbert O'Sullivan,1973,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1973,1973,"I'm a Writer, Not a Fighter (Deluxe Edition)",album,1973-01-01,159680,Gilbert O'Sullivan,10,1,1973,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,1kX0JVbq1lG9VZNiLF3Bwz,Get Down,Gilbert O'Sullivan,playlist_import,,GBEQJ0400004,true,,,
Balada,Gusttavo Lima,2012,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,2012,2012,Caribe 2012: Ai Se o Verão Te Pega!,compilation,2012-06-22,201720,Various Artists,3,1,2011,mb_match_uncertain,text,0.96,,,skipped_off,,2012,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late; manual: skipped for later review,1,6d63QA85w4FXhlXYtz7nco,Balada,Gusttavo Lima,playlist_import,,USA561215539,true,,,
Hollaback Girl,Gwen Stefani,2004,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2004,2004,Love. Angel. Music. Baby. (Deluxe Version),album,2004-11-12,199853,Gwen Stefani,3,1,2004,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0LzrhCZFXW94Y8nwtTuRlw,Hollaback Girl,Gwen Stefani,playlist_import,,USIR10400847,true,,,
MMMBop,Hanson,1997,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,1997,1997,Middle Of Nowhere,compilation,1997-01-01,268653,Hanson,2,1,1997,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0lnxrQAd9ZxbhBBe7d8FO8,MMMBop,Hanson,playlist_import,,USMR19786791,true,,,
Country Roads (Dance Radio Version),Hermes House Band,2015,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2015,2015,Country Roads,single,2015-07-15,198120,Hermes House Band,2,1,2001,mb_match_uncertain,text,0.96,,,skipped_off,,2001,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,14,0yD9qeu9sM5HhKWzv8dZ5N,Country Roads (Dance Radio Version),Hermes House Band,playlist_import,,NLA910100123,true,,,
Ratzfatz nach Mallorca,Ibo,2017,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2017,2017,Lieblingsschlager,album,2017-01-27,196000,Ibo,19,1,2000,mb_match_uncertain,text,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,17,6G2lRHL7CJjHEaf6AGK9Q5,Ratzfatz nach Mallorca,Ibo,playlist_import,,DEA760003101,true,,,
What A Feeling,Irene Cara,2007,csv_year,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,2007,2007,What A Feeling,single,2007-01-01,244533,Irene Cara,1,1,1983,mb_ok,text,0.90,,,skipped_off,,,,,,manual_skipped,review_reason: existing_year_conflict; risk_flags: mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only+existing_year_conflict; manual: skipped for later review,24,0aAR5HogGoT68EWFbyRFqx,What A Feeling,Irene Cara,playlist_import,,USA560619873,true,,,
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",1978,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1978,1978,Grease (The Original Motion Picture Soundtrack),compilation,1978-04-04,169840,Various Artists,4,1,1978,mb_ok,isrc,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",playlist_import,,NLF057890004,true,,,
